customer_id,customer_name,gender,age,country,signup_date,subscription_plan,monthly_fee,billing_cycle,payment_method,last_payment_date,login_frequency,support_tickets,avg_session_minutes,total_revenue,auto_renew,contract_type,churn_status,churn_date,churn_reason
1041,Ava Waghchaure,Male,26,USA,2024-12-12,Basic,9.99,Monthly,Debit Card,2027-05-15,38,10,104.1,289.71,Yes,Monthly,No,,
1042,Alex Waghchaure,Female,39,India,2022-09-29,Standard,19.99,Monthly,PayPal,2023-11-12,13,10,95.2,259.87,Yes,Annual,No,,
1043,Alex Patel,Male,37,Australia,2022-09-12,Standard,19.99,Yearly,Debit Card,2024-12-29,8,4,40.6,6476.76,No,Monthly,Yes,2025-01-23,Switched Competitor
1044,Om Patel,Female,40,Japan,2022-10-15,Premium,39.99,Monthly,UPI,2022-11-26,19,3,97.9,39.99,No,Annual,No,,
1045,Kabir Patel,Female,47,USA,2023-09-15,Standard,19.99,Yearly,Debit Card,2024-10-03,49,9,31.7,2878.56,No,Monthly,Yes,2024-10-27,High Price
1046,Riya Waghchaure,Male,58,India,2024-10-09,Premium,39.99,Yearly,Debit Card,2026-05-08,42,4,58.5,9117.72,No,Annual,No,,
1047,Anaya Patel,Male,23,Japan,2025-02-14,Standard,19.99,Yearly,Debit Card,2027-06-17,11,8,38.4,6716.64,Yes,Monthly,No,,
1048,Sophia Waghchaure,Male,26,UK,2023-02-19,Premium,39.99,Monthly,PayPal,2024-05-03,49,0,29.1,559.86,No,Annual,No,,
1049,Ava Sharma,Female,24,Japan,2024-08-10,Premium,39.99,Monthly,Credit Card,2025-06-11,56,4,154.8,399.9,Yes,Annual,No,,
1050,Ethan Waghchaure,Male,43,Japan,2024-09-12,Premium,39.99,Monthly,PayPal,2025-01-10,60,10,82.6,159.96,No,Annual,No,,
1051,Anaya Waghchaure,Female,63,Canada,2025-02-20,Basic,9.99,Monthly,Debit Card,2025-10-06,38,1,142.6,69.93,No,Annual,No,,
1052,Anaya Smith,Female,27,USA,2023-09-10,Premium,39.99,Yearly,UPI,2025-11-07,55,7,24.9,12476.88,No,Monthly,Yes,2025-11-18,High Price
1053,Om Sharma,Male,19,UK,2022-04-04,Standard,19.99,Monthly,UPI,2024-03-28,16,5,97.6,479.76,No,Annual,No,,
1054,Alex Brown,Female,32,Canada,2023-08-14,Standard,19.99,Yearly,UPI,2025-08-16,23,4,132.5,5757.12,No,Annual,No,,
1055,Mia Smith,Male,51,Japan,2023-11-05,Basic,9.99,Yearly,PayPal,2025-08-17,20,0,167.4,2517.48,Yes,Annual,No,,
1056,Om Sharma,Male,30,Japan,2023-11-23,Basic,9.99,Monthly,PayPal,2024-11-05,17,6,117.1,109.89,No,Annual,No,,
1057,Mia Patel,Female,29,USA,2023-08-09,Standard,19.99,Yearly,Debit Card,2026-01-17,46,8,130.8,6956.52,Yes,Annual,No,,
1058,Ethan Waghchaure,Female,18,Canada,2024-03-21,Standard,19.99,Monthly,Credit Card,2025-05-24,42,3,146.1,279.86,Yes,Monthly,No,,
1059,Aarav Patel,Male,64,UK,2024-12-18,Basic,9.99,Monthly,Debit Card,2026-10-03,15,1,169.6,209.79,No,Monthly,Yes,2026-11-02,Poor Support
1060,Priya Smith,Female,46,Australia,2022-05-20,Standard,19.99,Yearly,PayPal,2022-11-24,34,10,129.7,1439.28,No,Monthly,No,,
1061,Kabir Waghchaure,Male,60,UK,2023-02-02,Basic,9.99,Monthly,PayPal,2025-03-12,4,9,166.9,249.75,Yes,Annual,No,,
1062,Alex Smith,Male,56,Japan,2023-08-29,Standard,19.99,Yearly,Debit Card,2023-10-09,19,9,66.1,239.88,Yes,Annual,Yes,2023-12-07,Switched Competitor
1063,Aarav Brown,Male,57,Japan,2024-04-03,Premium,39.99,Monthly,UPI,2025-09-30,41,2,162.9,719.82,No,Annual,No,,
1064,Liam Patel,Male,63,Japan,2022-09-09,Premium,39.99,Monthly,PayPal,2023-07-11,42,3,28.0,399.9,Yes,Monthly,No,,
1065,Anaya Patel,Male,61,Canada,2022-01-02,Premium,39.99,Yearly,Debit Card,2022-10-08,34,6,176.4,4318.92,Yes,Annual,Yes,2022-11-30,Features Missing
1066,Riya Johnson,Female,48,India,2022-03-17,Basic,9.99,Yearly,PayPal,2022-07-08,9,3,59.4,359.64,Yes,Annual,Yes,2022-09-05,High Price
1067,Anaya Patel,Female,44,USA,2024-12-04,Standard,19.99,Monthly,UPI,2027-03-23,5,2,158.4,539.73,No,Monthly,No,,
1068,Emma Patel,Male,38,UK,2022-06-02,Basic,9.99,Yearly,Debit Card,2024-04-04,30,6,72.9,2637.36,Yes,Annual,No,,
1069,Liam Johnson,Male,21,USA,2023-11-25,Standard,19.99,Yearly,Credit Card,2024-07-14,52,0,82.4,1679.16,No,Monthly,No,,
1070,Emma Johnson,Male,18,Germany,2024-03-23,Basic,9.99,Monthly,UPI,2024-08-01,31,8,42.2,39.96,No,Monthly,Yes,2024-09-09,High Price
1071,Kabir Sharma,Female,47,Japan,2023-12-19,Premium,39.99,Monthly,Debit Card,2025-03-12,6,9,83.4,559.86,Yes,Monthly,Yes,2025-04-07,Switched Competitor
1072,John Sharma,Male,23,Canada,2022-10-27,Premium,39.99,Monthly,UPI,2024-04-09,39,10,115.2,679.83,Yes,Annual,No,,
1073,Ava Waghchaure,Female,59,USA,2022-05-11,Premium,39.99,Yearly,UPI,2023-04-18,12,3,135.4,5278.68,Yes,Annual,Yes,2023-06-16,Features Missing
1074,Om Patel,Female,28,USA,2023-12-23,Basic,9.99,Monthly,Debit Card,2024-12-16,54,6,81.1,109.89,Yes,Annual,No,,
1075,Kabir Sharma,Female,53,Germany,2024-01-06,Standard,19.99,Monthly,Debit Card,2026-05-30,47,10,68.8,579.71,Yes,Annual,Yes,2026-06-19,High Price
1076,Emma Smith,Female,46,UK,2022-02-18,Basic,9.99,Yearly,Debit Card,2022-07-16,7,10,151.5,479.52,Yes,Annual,No,,
1077,Priya Sharma,Female,41,Canada,2024-06-18,Premium,39.99,Yearly,UPI,2026-09-11,59,3,94.9,12956.76,Yes,Annual,Yes,2026-10-24,Features Missing
1078,Aarav Brown,Male,55,India,2024-03-26,Standard,19.99,Monthly,Debit Card,2024-09-29,51,7,169.9,119.94,Yes,Monthly,No,,
1079,Ethan Sharma,Female,54,Germany,2024-07-09,Standard,19.99,Monthly,UPI,2024-12-15,30,4,118.1,99.95,No,Monthly,Yes,2025-02-01,Low Usage
1080,John Brown,Female,36,UK,2025-01-27,Standard,19.99,Monthly,PayPal,2026-08-31,28,1,21.8,379.81,No,Annual,No,,
1081,Ava Sharma,Female,62,India,2022-10-25,Standard,19.99,Yearly,UPI,2022-11-30,52,0,55.2,239.88,Yes,Annual,No,,
1082,Olivia Brown,Male,41,USA,2023-04-07,Standard,19.99,Yearly,Debit Card,2024-12-18,17,0,24.0,4797.6,No,Monthly,No,,
1083,Kabir Sharma,Female,61,Germany,2024-01-19,Basic,9.99,Monthly,PayPal,2026-05-11,31,2,149.5,279.72,No,Annual,No,,
1084,Riya Patel,Male,45,India,2022-07-14,Premium,39.99,Yearly,Debit Card,2022-10-19,12,1,96.7,1439.64,No,Annual,No,,
1085,Emma Johnson,Female,20,UK,2024-10-13,Standard,19.99,Monthly,Debit Card,2026-03-06,58,2,161.1,319.84,No,Annual,Yes,2026-04-24,Switched Competitor
1086,Aarav Brown,Male,61,Australia,2024-09-13,Basic,9.99,Yearly,UPI,2026-10-31,3,9,103.1,2997.0,Yes,Annual,No,,
1087,Kabir Smith,Male,35,Germany,2023-08-18,Basic,9.99,Monthly,UPI,2023-11-30,51,6,128.4,29.97,No,Annual,No,,
1088,Alex Johnson,Female,31,Canada,2024-12-13,Standard,19.99,Monthly,Credit Card,2025-02-23,37,10,126.6,39.98,No,Annual,No,,
1089,Aarav Smith,Female,60,Japan,2023-11-01,Basic,9.99,Monthly,PayPal,2025-01-02,12,4,30.5,139.86,No,Annual,Yes,2025-01-13,Low Usage
1090,Anaya Brown,Female,19,Canada,2023-11-30,Basic,9.99,Yearly,PayPal,2024-05-31,5,8,56.0,719.28,Yes,Monthly,No,,
1091,Anaya Smith,Male,41,UK,2024-03-14,Standard,19.99,Monthly,Debit Card,2024-12-09,47,3,59.3,179.91,No,Monthly,No,,
1092,Kabir Johnson,Male,52,Germany,2025-01-05,Standard,19.99,Monthly,Debit Card,2026-08-17,30,10,51.8,379.81,No,Annual,No,,
1093,Priya Brown,Female,59,USA,2022-01-26,Basic,9.99,Monthly,Debit Card,2022-07-09,57,8,31.3,49.95,No,Annual,No,,
1094,Sophia Smith,Female,23,India,2024-08-29,Premium,39.99,Yearly,UPI,2026-11-08,30,10,31.3,12476.88,No,Annual,No,,
1095,Liam Brown,Male,28,UK,2023-07-06,Basic,9.99,Monthly,Debit Card,2025-10-24,6,0,145.8,279.72,Yes,Annual,No,,
1096,Emma Waghchaure,Female,61,Australia,2024-09-21,Standard,19.99,Monthly,UPI,2025-05-04,42,6,80.4,139.93,Yes,Annual,No,,
1097,John Smith,Male,58,Australia,2022-03-05,Basic,9.99,Monthly,Credit Card,2023-07-01,3,5,119.4,159.84,No,Monthly,No,,
1098,Kabir Smith,Female,32,India,2023-09-18,Basic,9.99,Yearly,Credit Card,2025-10-02,60,0,100.1,2877.12,No,Annual,No,,
1099,Ava Sharma,Female,48,UK,2023-01-25,Premium,39.99,Yearly,Credit Card,2023-04-26,51,7,110.5,1439.64,No,Annual,Yes,2023-05-10,Features Missing
1100,Priya Johnson,Male,18,USA,2025-01-16,Premium,39.99,Monthly,PayPal,2027-03-05,2,3,159.7,999.75,No,Monthly,No,,
1101,Olivia Johnson,Female,19,USA,2024-09-04,Premium,39.99,Monthly,UPI,2025-11-12,0,4,138.7,559.86,Yes,Annual,Yes,2025-11-17,High Price
1102,Alex Smith,Male,56,India,2023-01-05,Standard,19.99,Monthly,Debit Card,2024-04-16,25,6,14.7,299.85,No,Monthly,No,,
1103,Sophia Brown,Female,20,Canada,2025-02-21,Basic,9.99,Monthly,Credit Card,2026-09-06,2,2,159.2,179.82,No,Monthly,No,,
1104,Sophia Sharma,Female,33,Canada,2022-02-18,Standard,19.99,Monthly,UPI,2022-10-21,5,8,20.4,159.92,Yes,Annual,Yes,2022-12-18,Features Missing
1105,Anaya Smith,Female,40,Germany,2022-06-22,Standard,19.99,Monthly,UPI,2024-02-23,48,0,98.2,399.8,No,Monthly,No,,
1106,Ethan Johnson,Male,24,Canada,2024-09-02,Premium,39.99,Yearly,Debit Card,2026-09-24,36,9,35.0,11997.0,No,Annual,No,,
1107,Olivia Sharma,Male,22,India,2023-06-25,Basic,9.99,Yearly,UPI,2024-02-17,50,10,75.3,839.16,No,Annual,No,,
1108,Liam Patel,Female,44,Germany,2024-06-01,Basic,9.99,Yearly,PayPal,2026-09-26,7,10,59.2,3356.64,Yes,Annual,No,,
1109,Om Brown,Male,30,UK,2024-09-28,Standard,19.99,Monthly,Credit Card,2026-12-24,11,3,161.3,539.73,No,Annual,No,,
1110,Emma Sharma,Male,55,UK,2023-11-06,Premium,39.99,Yearly,PayPal,2024-01-13,54,5,52.6,959.76,Yes,Monthly,Yes,2024-02-09,Low Usage
1111,Alex Sharma,Female,41,UK,2022-08-30,Premium,39.99,Yearly,UPI,2023-11-08,23,8,168.8,6718.32,Yes,Annual,No,,
1112,Emma Brown,Female,40,USA,2023-07-11,Premium,39.99,Monthly,Credit Card,2025-02-17,43,1,5.4,759.81,No,Monthly,Yes,2025-03-27,Features Missing
1113,Olivia Brown,Male,61,Japan,2023-02-11,Basic,9.99,Yearly,Debit Card,2025-02-19,60,4,176.7,2877.12,Yes,Annual,Yes,2025-03-19,Features Missing
1114,Priya Sharma,Female,54,UK,2023-10-29,Basic,9.99,Yearly,Debit Card,2024-12-13,16,6,24.1,1558.44,Yes,Monthly,Yes,2024-12-16,Switched Competitor
1115,Ava Sharma,Male,29,Canada,2025-04-02,Basic,9.99,Yearly,Credit Card,2027-03-26,21,10,31.0,2877.12,No,Monthly,No,,
1116,Kabir Waghchaure,Female,40,USA,2022-10-28,Standard,19.99,Yearly,Debit Card,2023-01-05,11,10,78.3,479.76,Yes,Monthly,No,,
1117,Riya Johnson,Male,18,Canada,2023-02-09,Basic,9.99,Monthly,Credit Card,2023-09-05,28,3,44.6,59.94,Yes,Monthly,No,,
1118,Ethan Sharma,Female,65,Germany,2023-12-06,Premium,39.99,Yearly,PayPal,2025-07-11,45,4,7.7,9117.72,Yes,Monthly,No,,
1119,Aarav Smith,Female,42,Canada,2025-03-19,Premium,39.99,Yearly,PayPal,2026-01-08,37,3,80.9,4318.92,No,Annual,No,,
1120,Sophia Patel,Female,19,Germany,2022-06-13,Standard,19.99,Yearly,UPI,2024-10-16,24,1,25.7,6716.64,No,Monthly,No,,
1121,Sophia Sharma,Female,32,UK,2024-04-20,Basic,9.99,Monthly,PayPal,2026-02-19,12,6,29.2,219.78,Yes,Annual,No,,
1122,Sophia Johnson,Female,58,India,2023-01-12,Premium,39.99,Yearly,Debit Card,2024-01-04,10,1,98.7,5278.68,No,Annual,No,,
1123,John Waghchaure,Male,23,USA,2025-03-24,Standard,19.99,Yearly,Credit Card,2027-03-08,41,8,71.7,5517.24,No,Monthly,Yes,2027-05-04,Poor Support
1124,Om Smith,Female,40,India,2022-11-12,Basic,9.99,Monthly,UPI,2024-07-09,55,7,20.7,199.8,No,Monthly,No,,
1125,Mia Smith,Female,24,Germany,2024-09-08,Premium,39.99,Monthly,UPI,2025-01-16,3,10,102.2,159.96,Yes,Annual,No,,
1126,Om Brown,Female,21,Germany,2024-05-25,Premium,39.99,Monthly,PayPal,2024-10-04,37,4,130.8,159.96,No,Monthly,No,,
1127,Noah Brown,Female,43,Germany,2024-01-19,Standard,19.99,Monthly,UPI,2025-12-07,59,8,8.3,439.78,No,Monthly,No,,
1128,Priya Patel,Male,26,Japan,2023-07-18,Premium,39.99,Monthly,Debit Card,2024-03-01,56,8,24.7,279.93,Yes,Annual,No,,
1129,Priya Sharma,Male,34,Australia,2024-05-21,Standard,19.99,Monthly,Debit Card,2025-02-24,8,4,138.0,179.91,Yes,Monthly,Yes,2025-04-16,Poor Support
1130,Ava Sharma,Male,36,India,2023-07-03,Premium,39.99,Monthly,PayPal,2025-01-02,57,5,51.4,719.82,Yes,Annual,No,,
1131,Olivia Johnson,Male,46,Canada,2025-03-03,Premium,39.99,Yearly,Credit Card,2025-12-21,39,1,22.5,4318.92,Yes,Monthly,No,,
1132,Olivia Sharma,Female,44,USA,2023-06-29,Premium,39.99,Yearly,Credit Card,2025-07-12,33,1,117.2,11517.12,No,Monthly,No,,
1133,John Waghchaure,Male,36,Canada,2022-09-06,Standard,19.99,Yearly,Debit Card,2024-09-21,0,8,87.6,5757.12,No,Monthly,Yes,2024-10-06,Low Usage
1134,Om Sharma,Male,21,Germany,2022-04-11,Basic,9.99,Yearly,Debit Card,2023-04-10,45,10,59.7,1438.56,Yes,Monthly,No,,
1135,Kabir Smith,Female,47,Canada,2022-08-15,Premium,39.99,Yearly,Credit Card,2024-03-30,10,0,87.8,9117.72,No,Annual,No,,
1136,Om Brown,Male,36,Australia,2022-07-10,Basic,9.99,Yearly,UPI,2023-10-09,28,4,5.4,1798.2,Yes,Annual,No,,
1137,Riya Johnson,Female,31,UK,2022-02-01,Basic,9.99,Monthly,Credit Card,2022-10-21,31,5,18.9,79.92,No,Annual,No,,
1138,Liam Brown,Male,40,Australia,2023-06-11,Basic,9.99,Monthly,Credit Card,2024-04-22,50,7,85.1,99.9,No,Monthly,No,,
1139,Aarav Johnson,Female,44,Germany,2023-06-28,Premium,39.99,Yearly,Debit Card,2025-06-09,17,1,19.3,11037.24,Yes,Annual,No,,
1140,Liam Smith,Male,26,Canada,2023-07-20,Standard,19.99,Monthly,Credit Card,2025-07-30,24,8,151.7,479.76,Yes,Monthly,Yes,2025-09-28,Poor Support
1141,Aarav Brown,Male,41,India,2023-06-28,Standard,19.99,Monthly,Credit Card,2025-04-23,43,0,134.9,439.78,Yes,Annual,Yes,2025-05-11,High Price
1142,Riya Johnson,Male,39,Australia,2024-08-13,Basic,9.99,Monthly,Debit Card,2025-05-21,57,5,139.6,89.91,No,Monthly,Yes,2025-06-15,Switched Competitor
1143,Olivia Johnson,Female,34,Canada,2024-05-23,Premium,39.99,Yearly,UPI,2024-08-16,0,5,19.4,959.76,No,Annual,Yes,2024-09-11,Poor Support
1144,Riya Sharma,Male,48,USA,2024-05-31,Basic,9.99,Yearly,UPI,2025-02-25,7,6,144.4,1078.92,No,Monthly,No,,
1145,Priya Johnson,Female,43,Canada,2023-09-19,Standard,19.99,Monthly,PayPal,2024-05-14,35,6,26.8,139.93,Yes,Monthly,Yes,2024-06-23,Low Usage
1146,Alex Sharma,Female,24,Canada,2022-02-23,Premium,39.99,Yearly,UPI,2022-05-12,29,4,117.7,959.76,No,Monthly,No,,
1147,Sophia Johnson,Male,44,UK,2022-08-23,Premium,39.99,Yearly,PayPal,2024-05-05,34,8,72.9,9597.6,Yes,Monthly,No,,
1148,Emma Waghchaure,Female,31,Japan,2022-05-19,Basic,9.99,Monthly,PayPal,2024-06-02,54,9,115.7,239.76,Yes,Annual,No,,
1149,Anaya Sharma,Male,53,UK,2024-07-05,Standard,19.99,Yearly,Debit Card,2025-03-13,55,1,153.0,1919.04,Yes,Monthly,Yes,2025-04-25,Low Usage
1150,Sophia Waghchaure,Female,64,Australia,2022-09-04,Standard,19.99,Monthly,Debit Card,2024-08-05,58,3,128.6,459.77,Yes,Monthly,No,,
1151,Alex Smith,Female,58,UK,2022-06-30,Premium,39.99,Yearly,Debit Card,2024-10-15,18,7,78.5,12956.76,No,Annual,No,,
1152,Priya Johnson,Female,50,USA,2022-08-20,Premium,39.99,Monthly,PayPal,2023-06-18,14,0,17.4,399.9,Yes,Annual,No,,
1153,John Waghchaure,Male,41,Canada,2024-11-28,Standard,19.99,Yearly,Debit Card,2026-04-29,21,2,112.8,4077.96,No,Monthly,No,,
1154,Riya Brown,Male,54,USA,2023-03-08,Basic,9.99,Yearly,PayPal,2023-05-26,11,10,54.5,239.76,No,Monthly,No,,
1155,Om Waghchaure,Female,18,UK,2024-06-29,Basic,9.99,Yearly,Debit Card,2025-07-25,21,10,162.8,1558.44,No,Monthly,Yes,2025-08-10,High Price
1156,Anaya Smith,Female,64,UK,2024-08-25,Standard,19.99,Yearly,PayPal,2025-01-04,31,9,142.9,959.52,No,Annual,No,,
1157,Om Smith,Male,21,India,2024-12-23,Premium,39.99,Yearly,PayPal,2025-09-28,26,7,101.7,4318.92,Yes,Monthly,No,,
1158,Ethan Smith,Male,34,Germany,2025-01-17,Basic,9.99,Yearly,PayPal,2027-03-29,58,10,165.4,3116.88,Yes,Annual,Yes,2027-04-12,Low Usage
1159,Ava Sharma,Female,65,USA,2023-03-27,Standard,19.99,Monthly,UPI,2023-11-13,18,0,95.7,139.93,Yes,Annual,No,,
1160,Kabir Johnson,Male,49,India,2024-11-06,Basic,9.99,Monthly,Debit Card,2026-02-07,43,9,100.8,149.85,Yes,Annual,No,,
1161,Sophia Waghchaure,Female,52,Japan,2022-09-19,Standard,19.99,Monthly,UPI,2023-10-24,25,9,134.3,259.87,Yes,Annual,No,,
1162,Kabir Waghchaure,Female,31,Australia,2023-10-30,Premium,39.99,Yearly,Credit Card,2024-03-04,38,6,157.3,1919.52,Yes,Monthly,No,,
1163,Noah Smith,Female,54,Germany,2024-11-07,Standard,19.99,Yearly,PayPal,2025-09-30,60,3,21.5,2398.8,Yes,Annual,No,,
1164,Ethan Sharma,Male,63,India,2023-02-20,Basic,9.99,Monthly,PayPal,2024-07-02,53,9,60.0,159.84,Yes,Monthly,No,,
1165,Anaya Sharma,Female,53,UK,2022-11-16,Premium,39.99,Monthly,Credit Card,2024-01-13,34,10,135.5,559.86,No,Annual,Yes,2024-01-26,Switched Competitor
1166,Om Sharma,Female,53,Australia,2024-03-02,Basic,9.99,Monthly,PayPal,2024-08-12,3,1,174.8,49.95,No,Monthly,No,,
1167,Anaya Johnson,Male,28,Germany,2024-12-15,Premium,39.99,Yearly,Credit Card,2025-04-22,6,8,167.8,1919.52,No,Annual,No,,
1168,Liam Sharma,Female,49,Canada,2022-08-21,Standard,19.99,Monthly,PayPal,2024-10-23,35,0,131.1,519.74,Yes,Monthly,Yes,2024-12-19,Features Missing
1169,Emma Smith,Male,26,USA,2022-04-12,Premium,39.99,Yearly,Debit Card,2023-05-29,2,7,29.5,6238.44,No,Monthly,No,,
1170,Noah Patel,Male,25,USA,2024-10-10,Basic,9.99,Yearly,Credit Card,2024-12-07,28,0,19.9,119.88,Yes,Annual,Yes,2025-01-12,Switched Competitor
1171,Riya Brown,Male,65,Germany,2025-01-13,Premium,39.99,Monthly,UPI,2025-12-31,3,7,18.8,439.89,Yes,Annual,No,,
1172,Emma Smith,Male,30,Canada,2022-01-15,Basic,9.99,Yearly,Credit Card,2023-05-13,5,1,72.9,1918.08,Yes,Annual,No,,
1173,Kabir Patel,Male,63,India,2025-02-19,Basic,9.99,Yearly,PayPal,2027-05-07,52,9,156.5,3116.88,No,Annual,Yes,2027-05-16,Low Usage
